"ProjectId","BudgetItemId","AREA GROUP","BUDGETED COST","BudgetId","CATEGORY","CLIENT","DESCRIPTION","ELEMENT ID","ELEMENT KEY","END DATE","INVOICE GROUP","MARKUP IN %","NOTES","PAYMENT STATUS","PAYMENT TERMS","PROJECTID","QUANTITY","UNIT","START DATE","TITLE","TOTAL COST","VENDOR"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","08a5ddbe-39d0-4cd5-8461-aad8f0bdc530","LABOR-ALL","400","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","""TRUCKING  POST SHOW RETURN DAY CREW 2X ""","LABOR-0002","M2B-0003","2025-06-25 00:00:00","PRODUCTION WIDE LABOR","0.4022","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-24 00:00:00","MB2 Tahoe","560.88","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","128b2fda-a056-4c36-8d7c-bd9a0d744d4f","DESIGN-ALL","0","96c7ee91-955e-491a-a17d-c204af382c83","DESIGN","RMC","""DESIGN TEAM PRODUCER ONISTE ""","DESIGN-0003","M2B-0018","2025-06-22 00:00:00","PRODUCTION WIDE DESIGN","0","""RMC REQUESTED A REDUCED BILL-ITEM WAIVED ""","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","0","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","13e63638-ce91-438b-810a-2972a33b2b75","RENTALS-ALL","5108.94","96c7ee91-955e-491a-a17d-c204af382c83","RENTALS","T&C RENTALS","""STARLIGHT DRAPERY MASK ""","RENTALS-0002","M2B-0044","2025-06-23 00:00:00","STARLIGHT FOYER","0.7702","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","9043.84","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","15709659-0f91-447f-a9c9-fbe4dd0f383a","LABOR-ALL","350","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","RMC","DECOR SCENIC PACK UP RETURN 5HRS","LABOR-0009","M2B-0022","2025-06-24 00:00:00","PRODUCTION WIDE LABOR","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-23 00:00:00","MB2 Tahoe","402.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","159d43fc-50d3-4fd2-bcac-9e3ecbdc4314","DECOR-ALL","1050","96c7ee91-955e-491a-a17d-c204af382c83","DECOR","T&C RENTALS","""TREE &  SET DRESSING ""","DECOR-0002","M2B-0033","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1417.39","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","17e53431-ad4a-4bea-bdf5-abe6c887f884","RENTALS-ALL","495","96c7ee91-955e-491a-a17d-c204af382c83","RENTALS","T&C RENTALS","CLIP HARDWARE SYSTEM *EXPEDITED INSTALLATION*","RENTALS-0005","M2B-0047","2025-06-23 00:00:00","STARLIGHT FOYER","0.7702","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","876.24","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","1e9cffe9-8ca1-4407-9191-fc42b5cb5fb4","DECOR-ALL","250","96c7ee91-955e-491a-a17d-c204af382c83","DECOR","T&C RENTALS","""TREE STUMP OTTOMANS ""","DECOR-0004","M2B-0036","2025-06-23 00:00:00","TIMBO PHOTO OP","0.3499","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","337.47","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","20fab3e2-4897-4a3d-b447-dfc9d560145c","RENTALS-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","RENTALS","T&C RENTALS","""PICKUP- PREP - STAGE DAY ""","RENTALS-0008","M2B-0051","2025-06-23 00:00:00","STARLIGHT BALLROOM","0.3911","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","765.1","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","21d5a882-f3da-44f3-b7e1-51c5516ef0d6","CONTINGENCY-ALL","569","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","TRAVEL CONTINGENCY FEE","TRAVEL-0007","M2B-0015","2025-06-23 00:00:00","PRODUCTION WIDE TRAVEL","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","634.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","24e90664-93b2-4ddd-8a4d-93a874d81ba6","LIGHTING-ALL","325","96c7ee91-955e-491a-a17d-c204af382c83","LIGHTING","T&C RENTALS","WORLD MAP SCENIC WALL UPGRADE LED SURROUND","LIGHTING-0005","M2B-0067","2025-06-23 00:00:00","""VOYAGE VISTA PHOTO OP ""","1.79","*UPGRADED* TO  LED MAP SURROUND SYSTEM","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","581.75","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","2770e602-c874-4490-b15a-3c2930dc6ee9","DECOR-ALL","950","96c7ee91-955e-491a-a17d-c204af382c83","DECOR","T&C RENTALS","""LED 20'' ORB SET RGB [SET OF 2 UNITS] ""","DECOR-0008","M2B-0058","2025-06-23 00:00:00","STARLIGHT LUNAR PHOTO OP","0.35","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","1282.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","2cfe805f-e360-401b-8ecb-05fc5610089b","TRAVEL-ALL","1290","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","""PER DIEM 3X CREW 5X DAYS ""","TRAVEL-0004","M2B-0012","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","""$86 PER DAY PER CREW ""","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","1483.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","2f985d39-08d9-4e19-bc7a-1a2dc200c0cb","DECOR-ALL","185","96c7ee91-955e-491a-a17d-c204af382c83","DECOR","T&C RENTALS","""LED 20'' ORB SET RGB [SET OF 1 UNITS] ""","DECOR-0010","M2B-0062","2025-06-23 00:00:00","STARLIGHT BALLROOM ENTRY","0.5314","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","283.3","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","3455ace6-9b69-42d2-b2b9-3a9b0bc8fe70","LABOR-ALL","550","96c7ee91-955e-491a-a17d-c204af382c83","LABOR","T&C RENTALS","SCENIC ASSEMBLY - PREP- PACK","LABOR-0010","M2B-0069","2025-06-23 00:00:00","""VOYAGE VISTA PHOTO OP ""","0.35","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-16 00:00:00","MB2 Tahoe","742.5","MYLG STUDIO"
"f3ad4f13-ddc1-4312-880a-ad71a08124bd","37337b02-5f89-4608-9abd-54adc4f3eba6","TRAVEL-ALL","650","96c7ee91-955e-491a-a17d-c204af382c83","TRAVEL","RMC","""RENTAL CARS 1X 5X DAYS ""","TRAVEL-0002","M2B-0010","2025-06-22 00:00:00","PRODUCTION WIDE TRAVEL","0.15","","""PAID ""","DUE ON RECEIPT","f3ad4f13-ddc1-4312-880a-ad71a08124bd","1","","2025-06-18 00:00:00","MB2 Tahoe","747.5","MYLG STUDIO"
